regime,N,p,col,cost_mean,cost_ci95,ncz_mean,ncz_ci95,nmeas_mean,nmeas_ci95,shot_depth_mean,shot_depth_ci95,n_shots_mean,n_shots_ci95,step_depth_mean,step_depth_ci95
near-RGG,10,0.5,Steiner,66.6815,1.7384,53.4800,1.5385,83.1300,2.8305,16.7000,0.2380,6.3033,0.0744,2.6543,0.0274
near-RGG,10,0.5,prop,49.2761,1.0960,40.6367,0.9981,62.0567,1.8389,12.7333,0.1897,4.4133,0.0581,2.8946,0.0336
near-RGG,20,0.5,Steiner,235.4303,3.1971,196.7933,2.9058,287.4933,5.4154,44.9167,0.3993,14.9767,0.0845,3.0004,0.0231
near-RGG,20,0.5,prop,171.6066,2.0650,152.7767,1.9532,218.6767,3.5316,32.9000,0.2984,9.4033,0.0615,3.5033,0.0300
near-RGG,30,0.5,Steiner,536.6585,5.7140,459.0067,5.1799,662.5300,9.9361,80.3933,0.6024,24.3800,0.0889,3.2991,0.0246
near-RGG,30,0.5,prop,386.0124,3.5859,353.1633,3.4156,498.5733,6.2395,55.5133,0.4450,14.3533,0.0595,3.8694,0.0299
near-RGG,40,0.5,Steiner,958.9424,8.9530,832.5933,8.1012,1197.2333,15.1047,117.2533,0.7667,33.9300,0.0938,3.4562,0.0214
near-RGG,40,0.5,prop,697.4067,5.1641,648.8833,4.9321,911.8933,9.1832,79.2733,0.5331,19.3900,0.0576,4.0897,0.0275
near-RGG,50,0.1,Steiner,445.3412,4.8460,371.2267,4.3344,562.9300,7.5398,83.5200,0.5536,30.0567,0.1778,2.7800,0.0126
near-RGG,50,0.1,prop,536.1298,6.9125,468.6500,6.5877,692.8367,10.3916,85.8933,0.5272,24.3633,0.0626,3.5258,0.0202
near-RGG,50,0.2,Steiner,761.9380,7.2246,650.8200,6.5295,964.1967,11.7322,113.0533,0.6174,36.6500,0.1490,3.0852,0.0129
near-RGG,50,0.2,prop,853.6516,7.4709,781.6833,7.1530,1115.8767,12.3012,99.0833,0.5553,24.4433,0.0607,4.0545,0.0226
near-RGG,50,0.3,Steiner,1027.0892,8.2689,887.5333,7.5181,1294.0167,13.9267,131.6400,0.6976,39.8667,0.1161,3.3026,0.0163
near-RGG,50,0.3,prop,1000.5989,6.9564,930.3733,6.5799,1314.3100,12.2120,102.7133,0.6194,24.3767,0.0608,4.2144,0.0251
near-RGG,50,0.4,Steiner,1273.6529,9.9970,1109.0933,9.0827,1600.7900,16.9563,145.6500,0.7307,42.0367,0.1002,3.4655,0.0172
near-RGG,50,0.4,prop,1066.1596,7.3846,998.2100,6.8572,1396.7833,13.0544,103.8567,0.7274,24.4300,0.0591,4.2521,0.0297
near-RGG,50,0.5,Steiner,1499.8177,11.2644,1312.3967,10.2360,1877.9867,19.5703,156.9433,0.9226,43.5300,0.0927,3.6060,0.0211
near-RGG,50,0.5,prop,1098.0023,7.1157,1031.5333,6.6155,1438.5433,12.6308,104.7033,0.6895,24.4033,0.0600,4.2915,0.0283
near-RGG,50,0.6,Steiner,1705.9829,13.3782,1498.9633,12.1435,2125.1867,23.3139,167.0400,1.1197,44.5833,0.0799,3.7471,0.0250
near-RGG,50,0.6,prop,1104.0547,7.4756,1037.1100,7.0019,1447.4300,13.2117,104.8700,0.6658,24.4333,0.0627,4.2934,0.0276
near-RGG,50,0.7,Steiner,1899.4894,15.0498,1673.9900,13.7480,2356.2933,26.6502,175.2733,1.2744,45.5633,0.0757,3.8470,0.0276
near-RGG,50,0.7,prop,1089.9243,7.2793,1023.1667,6.7431,1429.7667,12.9482,104.1500,0.6513,24.4267,0.0626,4.2649,0.0266
near-RGG,50,0.8,Steiner,2086.3544,16.5824,1843.9833,15.0867,2579.5000,29.5000,182.1867,1.4537,46.3467,0.0628,3.9312,0.0314
near-RGG,50,0.8,prop,1031.4704,7.2330,965.0200,6.8520,1350.2633,12.7495,103.5667,0.6603,24.4133,0.0595,4.2432,0.0270
near-RGG,50,0.9,Steiner,2274.5581,17.1046,2014.7367,15.5054,2806.4900,30.6292,189.2000,1.8426,47.0533,0.0477,4.0210,0.0390
near-RGG,50,0.9,prop,878.9439,7.0964,812.2700,6.7528,1148.2867,11.7809,97.9500,0.5972,24.4300,0.0598,4.0102,0.0241
near-RGG,60,0.5,Steiner,2158.0152,14.4567,1900.3800,13.2191,2710.9900,25.2982,198.6133,1.2154,53.1933,0.0972,3.7341,0.0225
near-RGG,60,0.5,prop,1594.9780,9.3099,1508.6900,8.7185,2100.2900,16.3025,130.5900,0.7772,29.4233,0.0618,4.4397,0.0278
near-RGG,70,0.5,Steiner,2918.5479,17.7089,2582.2500,16.0620,3668.9767,31.4516,242.2767,1.2740,62.8933,0.0945,3.8527,0.0206
near-RGG,70,0.5,prop,2167.3500,11.4115,2060.9800,10.6710,2856.0033,20.3977,157.1367,0.8770,34.4100,0.0595,4.5670,0.0252
near-RGG,80,0.5,Steiner,3843.2584,23.4226,3411.9067,21.5028,4845.3200,40.7467,288.6167,1.6170,72.8667,0.0908,3.9611,0.0220
near-RGG,80,0.5,prop,2860.0811,14.9032,2729.5733,13.8842,3780.4133,26.0767,184.9167,1.1420,39.3633,0.0583,4.6978,0.0285
near-RGG,90,0.5,Steiner,4844.5671,28.0396,4312.6933,25.3127,6122.7933,48.8992,333.5800,1.7561,82.6300,0.0975,4.0374,0.0215
near-RGG,90,0.5,prop,3634.5008,17.1812,3480.4467,16.0069,4818.0767,30.7407,213.0233,1.2054,44.3567,0.0588,4.8029,0.0272
